418IS16001,0,ABC1
418IS16002,1,ABC2
418IS16004,1,ABC3
418IS16005,0,ABC4
418IS16006,1,ABC5
418IS16007,1,ABC6
418IS16008,0,ABC7
418IS16009,0,ABC8
418IS16010,1,ABC9
418IS16011,1,ABC10
418IS16012,1,ABC11
418IS16013,1,ABC12
418IS16014,0,ABC13
418IS16015,0,ABC14
418IS16016,0,ABC15
418IS17017,1,ABC16
418IS17018,0,ABC17
418IS17019,0,ABC18
418IS17020,0,ABC19
418IS17021,1,ABC20
418IS17022,1,ABC21
418IS17023,1,ABC22
418IS17024,1,ABC23
418IS17025,0,ABC24
418IS17026,0,ABC25
418IS17027,1,ABC26
418IS17028,0,ABC27
418IS17029,0,ABC28
418IS17030,0,ABC29
418IS17031,0,ABC30
418IS17032,0,ABC31
418IS17033,1,ABC32
418IS17034,1,ABC33
418IS17035,0,ABC34
